순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
304,야외용 쯔쯔가무시 진단키트 개발,2014-06-13,2016-06-12,민군겸용기술개발,해당없음,㈜이뮨메드,국방과학연구소,"쯔쯔가무시, 진단키트","Tsutsugamushi, Diagnostic Kit","○ 성능향상을 통해 민감도가 개선된 진단키트 제품화 및 시제품 생산○ 진단키트의 국내 임상시험 및 Global premarketing○ 식품의약품안전처에 품목허가 심사용 서류 제출""",Development of Tsutsugamushi Diagnostic Kit for Field,국방과학연구소
305,반자율 이동로봇과 극지향성 음향 송출을 이용한 공항내 조류퇴지 시스템 개발,2009-06-01,2012-06-29,민군겸용기술개발,시험개발,원자력연구원,국방과학연구소,카메라;반자율 이동로봇;극지향성 음향;열영상;레이저,camera;Semi-Autonomous Robot;Hyper-Directional speaker;IR camera;laser,"ㅇ 반자율 이동로봇과 극지향성 음향 및 레이저 송출 시스템을 이용한 공항 내 조류퇴치시스템 개발을 위하여 다음과 같은 연구를 수행하였다.    - 전국 비행장의 계절에 따른 대표 조류 파악 및 습성파악    - 영상 패턴인식 및 음향 분석기법을 융합한 중대형 조류 종 자동 탐지 기술 개발    - 레이저, 극지향성 음향송출, 로봇 비정형 이동공격을 통한 조류퇴치 기술개발    - 장애물 자동회피 및 고장안전을 고려한 강건 이동로봇 플랫폼 개발    - 운용 인력 최소화 및 효율적 조류퇴치를 위해 인간공학기법을 적용한 원격통제 스테이션 개발    - 소프트웨어 고장방지를 위해 소프트웨어 확인 및 검증기법을 적용한 소프트웨어 개발    - 조류 탐지 및 퇴치알고리즘 최적화를 위해 적극적 현장 시험",Development of the Bird Expellent System with a Semi-Autonomous Robot and a Hyper-Directional speaker for the Airports,국방과학연구소
306,고농도 과산화수소제조기술 개발,2009-10-04,2010-10-03,민군겸용기술개발,응용연구,한국에너지기술연구원,국방과학연구소,과산화수소;산화반응;농축과산화수소,hydrogen peroxide;oxidation reaction;concentrated hydrogen peroxide,ㅇ 직접법용 촉매 제조 및 성능 시험ㅇ 튜브형 반응기 제조ㅇ 과산화수소 합성 실험ㅇ 증류 및 흡착공정 설계 기초자료인 기액 및 흡착 평형 연구ㅇ 증류공정 및 흡착공정 기초연구ㅇ 고성능 둔감성 화약 중간체 합성 시험,Development of Concentrated Hydrogen Peroxide Production Technology,국방과학연구소
307,고농도 과산화수소제조기술 개발,2011-10-04,2013-10-03,민군겸용기술개발,시험개발,한국에너지기술연구원,국방과학연구소,과산화수소;산화반응;농축과산화수소,hydrogen peroxide;oxidation reaction;concentrated hydrogen peroxide,"ㅇ 소형 실험장비를 이용한 촉매재생 주기 결정ㅇ 농축된 과산화수소를 4℃의 저장고에서 분해속도 측정ㅇ 튜브형 고압 반응기 이용 과산화수소 합성 실험ㅇ 소형 장치 이용 흡착 및 증류 조합 고농도 정제 시험ㅇ Pilot 설계, 제작 및 운전ㅇ 고농도 과산화수소 이용 탄화수소 연소시험",Development of Concentrated Hydrogen Peroxide Production Technology,국방과학연구소
308,역평행배열 MEMS 센서쌍 및 진북을 이용한 자가 보정 컴퍼스,2014-06-12,2016-06-11,민군겸용기술개발,해당없음,㈜내비오닉스코리아,국방과학연구소,"자가 보정 컴퍼스, 역평행 MEMS 센서쌍, 진북  ","self-corrective compass, conversely mounted MEMS sensor pairs, True north ",본 연구개발에서는 ‘역평행 3축 MEMS 센서쌍’을 이용하여 안정된 지자기의 검출과 디지털신호 출력으로 외부장비와의 원활한 호환성을 보장하는 동시에 천측을 통한 진방위를 산출하여 자가 보정 및 수정을 수행함으로써 기계식 자이로컴퍼스에 상응하는 컴퍼스를 개발하고자한다.,Self-corrective compass for using True North/conversely mounted MEMS Sensor Pairs,국방과학연구소
309,생체물질을 이용한 지능형 인공후각 감지시스템 개발,2011-04-01,2013-03-31,민군겸용기술개발,시험개발,한국과학기술연구원,국방과학연구소,펩타이드 수용체;캔틸레버 센서,peptide receptor;cantilever sensor,"ㅇ 센서개발   - 실시간 다중 검출이 가능한 캔틸레버 센서의 제작   - 제작한 캔틸레버 센서의 성능 평가 및 성능 증진   - 다중 분석이 가능한 환경을 위해 캔틸레버 센서의 표면 기능화 및 안정화   - 폭발물 (DNT) 및 환경오염물질 (TCDD) 감지 성능 평가ㅇ 수용체 개발   - DNT 특이적 결합 펩타이드 수용체의 외부 환경에 대한 안정화 확립   - 다이옥신 유사체 분석에 적합한 펩타이드 수용체 발굴   - 캔틸레버 센서에 고정화 후 외부 환경 변화에 대한 안정도 및 성능 평가   - SPR, QCM 등을 이용한 펩타이드의 온,습도에 대한 안정성 평가 및 향상ㅇ 시스템 개발   - 다중 신호 검출이 가능한 분석 시스템 제작   - 외부 환경 변화에 의한 센서 출력 신호 변화 상쇠 방법 확인   - 시료 전처리기 제작 및 캔틸레버 센서에 적용   - 개발한 요소기술을 통합하는 소형 시스템 개발",Development of Intellighent Artificial Olfactory System Using Biomolecular Recognition Element,국방과학연구소
310,생체물질을 이용한 지능형 인공후각 감지시스템 개발,2008-04-01,2010-03-31,민군겸용기술개발,응용연구,한국과학기술연구원,국방과학연구소,펩타이드 수용체;캔틸레버 센서,peptide receptor;cantilever sensor,"ㅇ 센서개발   - 실시간 다중 검출이 가능한 캔틸레버 센서의 제작   - 제작한 캔틸레버 센서의 성능 평가 및 성능 증진   - 다중 분석이 가능한 환경을 위해 캔틸레버 센서의 표면 기능화 및 안정화   - 폭발물 (DNT) 및 환경오염물질 (TCDD) 감지 성능 평가ㅇ 수용체 개발   - DNT 특이적 결합 펩타이드 수용체의 외부 환경에 대한 안정화 확립   - 다이옥신 유사체 분석에 적합한 펩타이드 수용체 발굴   - 캔틸레버 센서에 고정화 후 외부 환경 변화에 대한 안정도 및 성능 평가   - SPR, QCM 등을 이용한 펩타이드의 온,습도에 대한 안정성 평가 및 향상ㅇ 시스템 개발   - 다중 신호 검출이 가능한 분석 시스템 제작   - 외부 환경 변화에 의한 센서 출력 신호 변화 상쇠 방법 확인   - 시료 전처리기 제작 및 캔틸레버 센서에 적용   - 개발한 요소기술을 통합하는 소형 시스템 개발",Development of Intellighent Artificial Olfactory System Using Biomolecular Recognition Element,국방과학연구소
311,초소형 디지털주파수 측정기 개발,2005-12-01,2007-06-30,민군겸용기술개발,시험개발,(주)빅텍,국방과학연구소,전파감시;전자전시스템;전자기신호,radio wave monitoring;electronic warfare system;electromagnetic signal,"ㅇ 본 과제는 지연선(지연소자)에 의해 발생되는 주파수에 따른 위상변화량을 위상 코릴레이터와 디지타이저 기술로 구성되는 디지털 위상 검출기로 검출하여 주파수를 측정하는 디지털주파수측정기 초소형 시제의 개발이 목표로써, 기능적으로 광대역 코릴레이터(Correlator)와 고속 주파수연산회로로 구성되며, 코릴레이터는 광대역전력분배기,지연선, 광대역 하이브리드(90도, 180도) 및 고주파검파기로 구성된다. 기존 제품은 이들 회로소자가 개별부품으로 구성되어 부피와 중량이 크며, 고가인 단점이 있으나, 본 과제에서는 이들을 국내에서도 비약적인 발전을 하고 있는 MIC(Microwave Integrated Circuit) 기법을 적용하여 소형화하며, 주파수연산회로를 고집적 회로소자를 적용하여 소형화 및 고속화하여 제품의 부피와 무게를 줄이고, 신뢰성을 향상시킨 저대역 및 중대역 초소형 디지털주파수측정기를 개발하며, 현대전에서 요구되는 다양한 운용환경에 적용이 가능한 디지털주파수측정기 개발능력을 확보하여야 한다.",Development of Micro-miniaturized Digital Frequency Discriminator,국방과학연구소
312,방진 내충격 능동 하이브리드 마운트 시스템개발,2005-11-01,2007-10-31,민군겸용기술개발,응용연구,한국기계연구원,국방과학연구소,하이브리드;방진/내충격;전자기식,hybrid;shock and vibration control;electromagnetic,"ㅇ 응용연구단계인 1단계의 연구개발 내용은 방진/내충격 성능을 갖는 100 kg급 능동 하이브리드 마운트 단품의 개발이다. 이를 위하여 수동 요소(고무 요소)와 능동요소(전자기식 및 압전식 작동기)의 결합 개념 및 형상설계, 각 요소의 설계 기법 및 수학적 모델링을 통한 해석 기법 정립, 시험을 통한 해석 및 설계기법의 검증, 능동요소를 위한 제어기 설계, 시험용 마운트 제작 및 성능시험 평가 등을 내용으로 하고 있다",Development of hybrid mount system for shock and vibration control,국방과학연구소
313,세장형 광섬유 센서 배열 기술 개발,2005-11-01,2008-10-31,민군겸용기술개발,시험개발,(주)한화,국방과학연구소,세장형;광섬유;센서;배열,miniaturized;optical fiber;sensor;array,"ㅇ 현재 사용되고 있는 압전세라믹 기반의 음향센서는 센서 크기에 비례한 음향감도의 제한, 짧은 운용수명, 음향센서를 구동하기 위한 전원, 신호 및 전자회로 등의 과도한 전자부 사용으로 인한 센서부의 비대화 및 이에 의한 신뢰성 저하, 또한 전자파 간섭에 취약한 등의 단점을 내포하고 있어, 선진국에서는 이를 대체하기 위한 새로운 음향센서의 개발에 노력을 기울이고 있다. 광섬유 센서는 높은 감도 특성, 전자기 간섭에 대한 높은 대응성, 저렴한 제작 및 유지보수 비용, 전기/광학적으로 완전 수동 센서 네트워크 구성, 채널 확장 및 다중화의 용이함, 높은 신뢰성 및 반영구적 운용 수명 등의 장점으로 최근 그 응용 분야가 급속도로 확대되고 있다. 특히 국방분야의 경우, 자이로스코프 및 수중음향센서과 같은 분야에 적용되어 연구되었다.",Study on Miniaturized Optical Fiber Sensor Array Technology,국방과학연구소
314,실시간 3차원 가상물체 합성기술 개발,2008-12-01,2010-12-31,민군겸용기술개발,시험개발,에이알비전(주),국방과학연구소,실시간;3차원;가상물체;합성기술,realtime;3D;virtual object;composition technology,ㅇ Local Positioning 추적 기술 개발ㅇ Global Positioning 추적 기술 개발ㅇ 실감형 3차원 렌더링 기술ㅇ 지형 3D 모델을 이용한 가상 물체의 합성 기술 개발ㅇ 실시간 가상물체 합성 시스템ㅇ 실사/CG 합성을 휘한 실시간 윤곽선 보정 및 거리 키잉 기술ㅇ 실시간 3차원 안정화 및 거리 영상 복원 기술ㅇ 내장훈련장치 운용개념 설계 및 훈련시나리오 개발ㅇ 민수용 실용화 시제품 개발ㅇ 군수용 축소 시제품 개발,Development of Realtime 3D Virtual Object Composition techonology,국방과학연구소
315,센서 융합을 이용한 수중 다물체 자동 인식/식별용 3차원 수중 영상 시스템 개발,2008-04-01,2010-03-31,민군겸용기술개발,응용연구,아이에스테크놀로지(주),국방과학연구소,초음파;영상처리,ultrasound;image processing,ㅇ 본 연구 개발 과제에서는 수중 초음파 멀티빔 트랜스듀서와 수중 카메라 및 환경 센서(GPS Motion SVP)를 이용하여 해저면을 입체적으로 영상화하는 3차원 수중 영상 시스템과 인식/식별 알고리듬을 적용하여 획득한 영상 정보를 분석하는 인식/식별 시스템 그리고 이 두 시스템 개발에 필요한 가상의 영상 신호를 제공하는 수중 영상 시뮬레이터 시스템을 개발하였다. 계측장비와 수조를 이용하여 각 부시스템의 기능과 성능 확인을 위한 시험을 실시하였고 부시스템 간의 연동 시험을 실시하여 성능을 평가하였다.,Underwater 3-D Imaging System Development for Object Detection/Recognition using Sensor Fusion Techniques,국방과학연구소
316,세라믹 리니어엔진을 이용한 100W급 휴대용 파워팩 개발,2008-12-01,2012-06-29,민군겸용기술개발,시험개발,한국에너지기술연구원,국방과학연구소,세라믹 리니어엔진;휴대용 파워팩,Linear Ceramic Engine;Protable Power Pack,"ㅇ 한국에너지기술연구원에서는 ""세라믹 리니어엔진을 이용한 100W급 휴대용 파워팩 개발""을 위해 1차년도에는 솔리드웍스(Solidworks)와 같은 3D 설계프로그램을 이용하여 리니어엔진 및 리니어제너레이터의 기본 개념설계 및 제작을 실시하였다. 이를 통해 설계 및 시제품 제작과정에서 발생하는 오류를 최소화하여 제작기간을 단축하기 위한 노력을 실시 하였다. 2차년도에는 1차년도에 설계 및 제작된 시제품에 대한 성능평가 및 최적화를 실시하였으며, 이를 통해 문제가 되는 부문에 대해서는 수정 및 보완 작업을 실시하였다. 3차년도에는 2차년도에 개발된 제품을 토대로 100W급 휴대용파워팩 개발을 위해 리니어엔진, 리니어제너레이터, 제어기 및 팩키지에 필요한 부품들에 대한 설계 및 제작을 실시하였으며, 필요 부품에 대한 최적화 설계 및 배치를 하였다. 이를 통해 팩키지 시제품을 제작하였다.",The Development of 100W Protable Power Pack Using Linear Ceramic Engine,국방과학연구소
317,소형 내충격 다채널 고해상도의 영상 라디오메터 시스템 개발,2006-09-01,2009-09-30,민군겸용기술개발,응용연구,삼성탈레스(주),국방과학연구소,라디오메터;밀리미터파 영상라디오미터;다채널,radiometer;Millimeter-wave imaging radiometer Equipment;MIRAE;multi channel,"ㅇ 밀리미터파 영상 라디오미터(Radiometer)는 물체에서 방사되는 전기파 에너지를 광대역, 저잡음, 고안정의 수신기를 이용하여 2차원으로 밝기온도(Brightness Temperature:BT)를 측정하는 영상 센서시스템으로서, 본 연구에서는 대기 중 전파 감쇄가 적은 94GHz 대여게서, 다채널 고해상도 밀리미터파 영상 라디오미터 시스템을 개발한다.",Development of passive millimeter wave imaging radiometer equipment,국방과학연구소
318,소형 내충격 다채널 고해상도의 영상라디오미터 시스템 개발,2009-12-01,2011-12-30,민군겸용기술개발,시험개발,삼성탈레스(주),국방과학연구소,라디오메터;밀리미터파 영상라디오미터;다채널,radiometer;Millimeter-wave imaging radiometer Equipment;MIRAE;multi channel,"ㅇ LNA MMIC 설계/제작 및 수신기 1채널 검증   - 상용 모델 시스템/부시스템 설계   - W대역 LNA MMIC 설계 및 제작   - 고감도 수신기용 검파기 성능개선 및 검증   - 소형, 경량화 렌즈 설계/제작   - 1채널 해외 MMIC버전 수신기 제작/시험   - 1채널 국내 MMIC버전 수신기 제작ㅇ 고해상도 영상라디오미터 상용제품 개발   - 1채널 국내 MMIC버전 수신기 시험/보완   - 다채널 수신기 모듈 제작/시험 및 보완   - 소형, 경량화 렌즈 시험/보완   - 고해상도 영상 신호처리 알고리즘 적용   - 상용 제품 성능평가 및 검증",Development of Millimeter-wave Imaging Radiometer System for Concealed Weapon Detection,국방과학연구소
319,수송기계용 경량합금의 마찰교반용접기술 개발,2004-05-01,2007-07-31,민군겸용기술개발,시험개발,포항산업과학연구원,국방과학연구소,수송;전투차량,Friction Stir Welding;Friction;Welding,"ㅇ 응용연구   - 경량합금 FSW system 구축 및 운용   - 내마모 고성능 tool 재질 선정 및 수명평가     - Al, Mg, Ti 합금의 접합공정 최적화 및 특성평가   - 복잡형상 부품 접합기술 개발   - 열분포 프로그램, 열탄소성 및 열변형 해석프로그램 개발 운용   - FSW접합부 냉각 및 변형제어   - 군수용 고강도 Al, Ti합금의 접합공정 최적화ㅇ 시험개발   - 피스톤, 암 등 자동차용 Al 부품 제조 및 접합기술 개발   - Al 부품의 접합성능 및 신뢰성평가기술 개발   - Ti 및 Mg합금 FSW 적용 부품 제조기술 개발   - 접합부 결함검출장치 제작   - 실구조부품의 신뢰성 평가 및 경제성 분석",Development of Friction stir welding in Light-weight alloy for Transprotation systems,국방과학연구소
320,센서 융합을 이용한 수중 다물체 자동 인식/식별용 3차원 수중 영상 시스템 개발,2011-04-01,2013-06-30,민군겸용기술개발,시험개발,아이에스테크놀로지(주),국방과학연구소,초음파;영상처리,ultrasound;image processing,ㅇ 본 연구 개발 과제에서는 수중 초음파 멀티빔 트랜스듀서와 수중 카메라 및 환경 센서(GPS Motion SVP)를 이용하여 해저면을 입체적으로 영상화하는 4차원 수중 영상 시스템과 인식/식별 알고리듬을 적용하여 획득한 영상 정보를 분석하는 인식/식별 시스템 그리고 이 두 시스템 개발에 필요한 가상의 영상 신호를 제공하는 수중 영상 시뮬레이터 시스템을 개발하였다. 계측장비와 수조를 이용하여 각 부시스템의 기능과 성능 확인을 위한 시험을 실시하였고 부시스템 간의 연동 시험을 실시하여 성능을 평가하였다.,Underwater 3-D Imaging System Development for Object Detection/Recognition using Sensor Fusion Techniques,국방과학연구소
321,초고압 동압력 정밀계측 기술,2009-06-01,2012-06-29,민군겸용기술개발,시험개발,협성히스코,국방과학연구소,정밀계측;초고압 동압력;동압센서,precise measurement;ultra-high dynamic pressure;dynamic pressure sensors,ㅇ 계측기술   - 동압 모의시험장치 개발    - 초고압 동압 현상분석 및 동특성 연구   - 초고압 동압 계측시스템 개발   - 초고압 동압 계측기법 개발ㅇ 교정기술   - 초고압 정압 저장 및 발생장치 설계/제작   - 초고압 동압 변환장치 및 제어 장치 설계/제작   - 초고압 동압 교정시스템   - 초고압 동압 교정기법ㅇ 센서기술   - 동압 센서 개발   - 초고압 동압 센서별 특성비교 연구   - 동구게이지와 압전형 센서 특성 비교 연구   - 초고압 동압센서 전달함수연구,Development of precise measurement technology for ultra-high dynamic pressure ,국방과학연구소
322,초고속 속도측정용 도플러 레이더 개발,2005-11-01,2007-01-31,민군겸용기술개발,시험개발,(주)디에스티,국방과학연구소,도플러;계측장비;레이더;초고속 속도측정용,Doppler;Radar;Ultra-High Speed Velocity Measuremen,"ㅇ 초고속 속도측정용 도플러 레이더는 전파가 움직이는 물체에서 반사될 때 발생하는 전파의 도플러 효과를 이용하여 물체의 속도 및 궤적을 추적하는 기술을 이용하여 초고속으로 이동하는 물체의 속도를 측정하는 시스템이다. 본 레이더를 연구 개발하기 위하여 소요되는 기술은 안테나 관련기술로 초고주파 송신/수신, 도플러 신호 추출 등이 있고, 신호처리 기술로 디지털 신호처리 회로 설계 기술 및 도플러 신호처리 기술 및 정밀 속도 추정 기술 등이 있다. 또한 이 레이더는 안테나, RF/IF, 디지털 신호처리기, 기구, 전원등 성격이 전혀 다른 부분이 결합되어 기능이 구현되므로 시스템 종합 및 응용기술이 소요된다. 민군과제인 초고속 속도측정용 도플러 레이더는 군수 및 민수용 모두 적용될 수가 있다. 군용으로는 대표적으로 포구속도를 측정하는 용도로 사용할 수가 있으므로 현용의 포구속도 측정기(K-9 자주포 적용)를 국산화 개발하는 것을 목표로 하여, 포구속도를 측정할 수 있도록 하는 한편, 민수용도로 사용하기 위하여 초고속으로 움직이는 물체의 속도를 측정하여 나타낼 수 있도록 하였다.",Ultra-High Speed Velocity Measurement Doppler Radar Development,국방과학연구소
323,폭발압점을 이용한 특수 접합소재 개발,2011-10-11,2013-10-10,민군겸용기술개발,시험개발,(주)한화,국방과학연구소,폭발압접;특수 소재,explosive welding;special material,"ㅇ 폭발압접에 필요한 균질한 폭약 개발과 폭약 에너지 방출에 수반되는 진동과 소음을 감쇄할수 있는 폭음압 저감 기술을 개발하여, 군사용 방탄소재 및 함정용 구조물 연결재의 접합 기술 개발과 산업용 대형판재 및 특수금속용 소재의 접합 기술 개발이 본 연구의 범위임",Development of Special Material by Explosive Welding,국방과학연구소
324,헬리콥터 반 토오크 시스템 기술개발,2004-08-01,2006-07-31,민군겸용기술개발,시험개발,한국항공우주연구원,국방과학연구소,로터방식;헬리콥터;토오크시스템,Helicopter;anti-torque system;rotor,ㅇ 반 토오크 시스템 용 실물크기 테일팬 최종시제품 제작ㅇ 실물크기 테일팬 최종시제품 지상성능시험을 통한 기술입증ㅇ 중형 민수헬기 적용을 위한 상세연구ㅇ 2차 실물크기 동력전달시스템 제작ㅇ 실물크기 테일 기어박스 최종 시제품 지상성능시험을 통한 기술입증ㅇ 테일팬 팬-덕트-핀 2차 시제 상세설계 및 치공구 설계ㅇ 기계식/전자식 피치제어기 설계/제작 및 작동 시험,Development of Helicopter Navigation Software Technology based on Augmented Reality,국방과학연구소
325,호흡식 분말의 약품제조용 분무 동결건조기 개발,2003-08-01,2006-11-30,민군겸용기술개발,응용연구,한국기계연구원,국방과학연구소,혈액;경구루여;의약품;태양열;항생물질;호흡식 분말;분무 동결건조기,blood;solar;antibiotic;Respiration Powders;Spray Freeze Dryer,"ㅇ 분무동결건조기의 시스템 인테그레이션 기술 개발ㅇ 분무 동결 및 건조에 대한 동결건조기구 해석 및 평가 기술 개발ㅇ 진공 배기계 및 건조실 내부 기구 설계, 제작 기술 개발ㅇ 분무 진공 동결 건조용 고효율 미세 분무기술 개발 ( < 20 ㎛)ㅇ 피건조물 물성에 따른 분무 최적화 기술 개발(단일유체, 2-유체, 초음파 분무 등)ㅇ 응축기를 포함하는 수증기 포집 냉동장치 설계, 제작 기술 개발ㅇ 측정, 모니터링을 통한 자동 운용 제어 및 자동화 기술 개발ㅇ 멸균 및 Stoppering 장치들을 포함하는 부가장치 기술 개발 ㅇ 분무동결건조 과정의 열 및 물질 전달 해석 기술 개발",Development of Spray Freeze Dryer for the Production of Respiration Powders,국방과학연구소
326,혼성환경 위에서의 가상 통신구조에 관한 연구,2002-09-01,2004-08-31,민군겸용기술개발,시험개발,(주)엔버전스,국방과학연구소,차세대 Air-interface;네트워크 프로세서;게이트웨이;적응형 접속방식,All-IP;Next generation Air-interface;Network processor;Gateway;Adaptive connection,"ㅇ 적응형 접속 방식개발   - Wireless Dual Mode 방식 (Mobile/Fixed 방식)ㅇ All IP Architecture 연구   - All IP망구조의 변화에 대한 분석   - Air Interface 분석   - Application 기초연구   - Wireless QoS 연구   - All IP 아키텍쳐를 적용할 경우, 보안성을 유지하기 위한 필요 기술 요소 및 구현기술.ㅇ 핵심망 세부 요소 기술   - IP 기반 패킷 호 제어 기술   - IP multimedia Client의 호 생성 및 삭제 기능   - SIP 서버 및 H.323 GK 기능 지원ㅇ 차세대 Air Interface 분석   - 초고속 무선망 Application 특성 요구사항분석ㅇ 무선 기술 Qos 관련 연구   - 무선망 접근시, Service Level 관리   - 이동성 관리   - IPv6 수용 방안ㅇ Nerwork Processor Architecture 개발ㅇ 유무선 통합 Access Point Prototype 구현ㅇ Gateway Prototype 개발",A Study on the virtual communication structure in the multi-radio system,국방과학연구소
327,후박막 공정을 이용한 저자가방전 초소형 전지 개발,2003-10-01,2006-10-31,민군겸용기술개발,응용연구,(주)누리셀,국방과학연구소,후박막;나노테크놀러지;고출력;저자가방전 초소형 전지,thin/thick film;nano technology;low self discharge battery,"ㅇ 셀 어레이 설계: Microarray 기법 도입 및 단위 셀 제조.ㅇ 단위 셀 stacking 설계: 용량 증대를 위한 단위 셀의 병렬 적층 설계.ㅇ 요소기술 직접화 연구: 양극물질 및 고체전해질의 최적화 및 고속 증착기법 연구.ㅇ 셀 최적화 설계: 기판/전류집전체/양극/고체전해질/음극구조의 최적 설계.ㅇ 전지 패키징 설계: 신관회로기능에 적합한 적층 병렬, 직렬 구조설계 및 제조.ㅇ 장기보존 방안 연구: 패키징 종류 및 구조에 따른 장기 보존 신뢰성 연구.ㅇ 시험평가기법연구: 성능평가 설비 구축 및 환경시험 평가방안 연구.ㅇ 고체 전해질 개발: 비 Lipon 계 고체전해질 개발 및 고속 증착연구.ㅇ 패키지 소재 개발: 높은 내구성을 가지는 패키징 재료개발.",Development of low self discharge battery using the thin/thick film processes,국방과학연구소
328,유전자 재조합 변이효소를 이용한 친환경적 효소 제독재 개발,2008-12-19,2014-05-29,민군겸용기술개발,시험개발,한국생명공학연구원,국방과학연구소,효소제독제;유전자재조합;환경친화형 제독제,enzymes;detoxification;recombinant,"ㅇ OPAA, OPH, HADH, Lysin 등 제독 효소 유전자 확보, 자연계 효소 스크리닝, 유전자 전합성 및 재조합 발현 및 화학무기 유사합성 기질 활용효소 활성 측정법 및 스크리닝 시스템 확립, 각 효소의 분자진화 개량체의 확보 및 개량체의 실작용제 대비 개량된 역가의 입증, 변이체의 발현 생산 및 제제화, 안정화 시키기 위한 추가 첨가물 스크리닝 등 분자진화-기반 초고속 스크리닝 및 구조기반 안정화 기술을 통하여 효소 화학해독제 및 Bacillus 살균 제제를 개발함.",Development of enzyme decontaminating agent by using recombinant mutant enzyme,국방과학연구소
329,고기능 고성능 복합섬유소재 개발,2007-12-24,2010-12-23,민군겸용기술개발,응용연구,(주)효성,국방과학연구소,복합섬유;복합재료;자동차 경량화;풍력발전;탄소 프리폼,Carbon fiber;Composite;CFRP;Wind energy;Low weight composte,ㅇ 복합섬유개발   - 복합섬유용 프리커서용 중합물 개발   - 범융/중성능 프리커서 개발ㅇ 프리폼 개발 및 f-15K 탄소 프레이크 디스크 개발ㅇ 민수용 복합섬유 응용제품 신뢰성 평가기술 개발,Develpment of high function and high performance composite fiber material,국방과학연구소
330,폭발압점을 이용한 특수 접합소재 개발,2009-01-01,2011-12-31,민군겸용기술개발,응용연구,(주)한화,국방과학연구소,폭발압접;특수 소재,explosive welding;special material,ㅇ 폭발압접용 폭약개발(특수금속용 폭약조성 연구)ㅇ 균일한 폭속발생 기법연구ㅇ 특수금속 접합기술 연구ㅇ 폭음압 저감기술 연구ㅇ 구조물연결재 접합기술 연구ㅇ 방탄소재 접합기술 연구ㅇ 시작품 성능시험 평가,Developments of Special Material by Explosive Welding,국방과학연구소
331,집단훈련을 위한 착용형 혼합현실 기술개발,2009-06-01,2012-06-30,민군겸용기술개발,응용연구,에이알비전(주),국방과학연구소,혼합현실;가상현실;센서공학;동작인식;집단훈련,MR;VR;CV;HCI;RT;LV,"ㅇ 실시간 영상 합성 및 정합 기술ㅇ 착용형 장비를 이용한 영상 가시화 기술ㅇ 혼합현실을 위한 실감형 영상 합성 기술ㅇ 위치 및 자세 추적을 위한 Camera Calibration 기술ㅇ 다중 센서를 이용한 훈련자 및 보유화기 자세 추적 기술ㅇ 다중센서 기반 훈련자 및 보유화기 위치 추적 기술ㅇ 가상군 지식저장소(물리모델, 행위모델) 및 지식표현기법ㅇ 모의논리 처리를 위한 규칙(rule)기반 가상군 행위수행 기술ㅇ 모의환경 전장상황 인식을 위한 행위추론 및 저작도구 기술ㅇ See-through방식을 지원하는 HMD 화면표시 기술ㅇ 실내 환경에서 적합한 집단훈련용 총기 설계 및 제작ㅇ HMD 영상처리 및 구현 단말기 소형화 기술ㅇ See-through 화면표시 및 단말기 통합처리 기술ㅇ 실내 모의전투 환경을 위한 모의환경 저작도구 개발ㅇ 동작인식에 기반한 실감형 시각 시뮬레이션 시나리오 저작도구 개발ㅇ 실내 모의전투 환경 평가를 위한 모니터링 저작도구 개발ㅇ 적용체계 분석 및 실내용 훈련 시나리오 개발ㅇ 실내용 훈련을 위한 체계 요구규격 성능요소 분석 및 Test Bed 구축ㅇ 시작품 시험평가",Development of wearable Mixed Reality technology for group training,국방과학연구소
